ID;Sire;Dam;Sex;Lifespan;Egg_laying_day;Inbreeding_coefficient;Comment;Egg_to_emergence;I_II;II;II_III;III;III_IV;IV;IV_V;V;V_P;P;P_Imago;Imago
10;S45;C190;Male;Imago;NA;0;;;;;;;;;;;;;;
11;S45;C190;Male;Imago;NA;0;;;;;;;;;;;;;;
16;S37;C226;Male;Imago;NA;0;;;;;;;;;;;;;;
17;S45;C190;Male;Imago;NA;0;;;;;;;;;;;;;;
x3;C196;S29;Male;Imago;NA;0;;;;;;;;;;;;;;
20;S35;C221;Female;Imago;NA;0;;;;;;;;;;;;;;
22;S37;C226;Female;Imago;NA;0;;;;;;;;;;;;;;
23;S35;C221;Female;Imago;NA;0;;;;;;;;;;;;;;
26;S37;C226;Female;Imago;NA;0;;;;;;;;;;;;;;
27;S35;C221;Female;Imago;NA;0;;;;;;;;;;;;;;
28;S45;C190;Female;Imago;NA;0;;;;;;;;;;;;;;
29;S35;C221;Female;Imago;NA;0;;;;;;;;;;;;;;
34;S35;C221;Female;Imago;NA;0;;;;;;;;;;;;;;
20.e1;10;20;NA;Egg_harvest;1;0;;;;;;;;;;;;;;
20.e2;10;20;NA;Egg_harvest;1;0;;;;;;;;;;;;;;
20.e3;10;20;NA;Egg_harvest;1;0;;;;;;;;;;;;;;
20.e4;10;20;NA;Egg_harvest;1;0;;;;;;;;;;;;;;
20.e5;10;20;NA;Egg_harvest;2;0;;;;;;;;;;;;;;
20.e6;10;20;NA;Egg_harvest;2;0;;;;;;;;;;;;;;
20.e7;10;20;NA;Egg_harvest;2;0;;;;;;;;;;;;;;
20.e8;10;20;NA;Egg_harvest;2;0;;;;;;;;;;;;;;
20.e9;10;20;NA;Egg_harvest;2;0;;;;;;;;;;;;;;
20.e10;10;20;NA;Egg_harvest;2;0;;;;;;;;;;;;;;
20.d_e1;10;20;NA;Egg;2;0;;;;;;;;;;;;;;
20.d_e2;10;20;NA;Egg;2;0;;;;;;;;;;;;;;
20.d_e3;10;20;NA;Egg;3;0;;;;;;;;;;;;;;
20.d_e4;10;20;NA;Egg;3;0;;;;;;;;;;;;;;
20.d_e5;10;20;NA;Egg;3;0;;;;;;;;;;;;;;
20.d_e6;10;20;NA;Egg;4;0;;;;;;;;;;;;;;
20.d_e7;10;20;NA;Egg;4;0;;;;;;;;;;;;;;
20.d_e8;10;20;NA;Egg;4;0;;;;;;;;;;;;;;
20.d_e9;10;20;NA;Egg;4;0;;;;;;;;;;;;;;
20.d_e10;10;20;NA;Egg;4;0;;;;;;;;;;;;;;
20.d_e11;10;20;NA;Egg;4;0;;;;;;;;;;;;;;
20.d_e12;10;20;NA;Egg;4;0;;;;;;;;;;;;;;
20.d_e13;10;20;NA;Egg;4;0;;;;;;;;;;;;;;
20.d_e14;10;20;NA;Egg;4;0;;;;;;;;;;;;;;
20.d_e15;10;20;NA;Egg;4;0;;;;;;;;;;;;;;
20.d_e16;10;20;NA;Egg;4;0;;;;;;;;;;;;;;
20.d_e17;10;20;NA;Egg;5;0;;;;;;;;;;;;;;
20.d_e18;10;20;NA;Egg;5;0;;;;;;;;;;;;;;
20.d_e19;10;20;NA;Egg;6;0;;;;;;;;;;;;;;
20.d_e20;10;20;NA;Egg;6;0;;;;;;;;;;;;;;
20.d_e21;10;20;NA;Egg;6;0;;;;;;;;;;;;;;
20.d_e22;10;20;NA;Egg;6;0;;;;;;;;;;;;;;
20.d_e23;10;20;NA;Egg;6;0;;;;;;;;;;;;;;
20.d_e24;10;20;NA;Egg;6;0;;;;;;;;;;;;;;
20.d_e25;10;20;NA;Egg;7;0;;;;;;;;;;;;;;
20.d_e26;10;20;NA;Egg;7;0;;;;;;;;;;;;;;
20.d_e27;10;20;NA;Egg;7;0;;;;;;;;;;;;;;
20.d_e28;10;20;NA;Egg;7;0;;;;;;;;;;;;;;
20.1;10;20;NA;NA;2;0;Death by handling;8864;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20.2;10;20;Male;Imago;2;0;;9500;NA;NA;NA;NA;21600;24480;NA;NA;30240;33120;NA;44640
20.3;10;20;Female;Imago;2;0;;9500;NA;NA;NA;NA;21600;24480;NA;30240;31680;33120;NA;44640
20.4;10;20;Male;Imago;2;0;;9500;NA;NA;NA;NA;21600;24480;NA;NA;30240;31680;NA;41760
20.5;10;20;NA;NA;2;0;Perhaps death by handling;9500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20.6;10;20;Female;Imago;3;0;;9500;NA;NA;NA;NA;21600;25920;NA;30240;NA;36000;NA;47520
20.7;10;20;Male;Imago;3;0;;8945;NA;NA;NA;NA;17280;20160;25920;NA;NA;27360;NA;37440
20.8;10;20;Male;Imago;3;0;;8945;NA;NA;NA;NA;18720;23040;27360;NA;28800;30240;NA;41760
20.9;10;20;Female;Imago;3;0;;8945;NA;NA;NA;NA;NA;20160;23040;27360;28800;30240;NA;41760
20.10;10;20;Male;Imago;3;0;;8945;NA;NA;NA;NA;18720;20160;24480;NA;27360;28800;NA;40320
20.11;10;20;Male;Imago;4;0;;9475;NA;NA;NA;17280;20160;23040;27360;28800;30240;31680;NA;41760
20.12;10;20;NA;Instar_I;2;0;Perhaps drowned;10937;D;D;D;D;D;D;D;D;D;D;D;D
20.13;10;20;Female;Imago;2;0;;10937;NA;NA;NA;NA;NA;24480;28800;30240;33120;34560;NA;44640
20.14;10;20;Female;Imago;2;0;;10937;NA;NA;NA;NA;25920;27360;NA;30240;NA;37440;NA;50400
20.15;10;20;Female;Imago;2;0;;10937;NA;NA;NA;NA;NA;25920;30240;31680;NA;34560;NA;47520
20.16;10;20;Female;Imago;3;0;;10337;NA;NA;NA;NA;20160;23040;27360;30240;31680;33120;NA;43200
20.17;10;20;Male;Imago;5;0;;7457;NA;12960;17280;20160;21600;23040;25920;27360;31680;33120;NA;44640
20.18;10;20;Female;Imago;5;0;;7457;NA;NA;NA;15840;20160;23040;NA;25920;30240;31680;NA;43200
20.19;10;20;Male;Imago;5;0;;7457;NA;NA;NA;15840;20160;21600;24480;25920;28800;30240;NA;40320
20.20;10;20;Female;Pupa/Imago;4;0;;10320;NA;NA;NA;21600;28800;30240;NA;34560;43200;44640;56160;D
20.21;10;20;Female;Instar_IV;4;0;;10320;NA;NA;21600;23040;28800;30240;D;D;D;D;D;D
20.22;10;20;Female;Imago;5;0;;8880;NA;NA;NA;20160;NA;25920;NA;31680;37440;38880;NA;51840
20.23;10;20;NA;NA;5;0;;8880;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20.24;10;20;NA;Instar_I;5;0;;8880;D;D;D;D;D;D;D;D;D;D;D;D
20.25;10;20;Female;Imago;5;0;;8880;NA;NA;NA;20160;NA;25920;NA;30240;34560;36000;NA;48960
20.26;10;20;Male;Imago;5;0;;8880;NA;NA;NA;17280;21600;23040;NA;25920;NA;31680;NA;43200
20.27;10;20;Male;Imago;5;0;;10365;NA;NA;15840;17280;20160;21600;24480;25920;27360;28800;NA;38880
20.28;10;20;NA;NA;6;0;DoS drowned;8925;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20.29;10;20;Female;Pupa;6;0;;8925;NA;NA;21600;23040;NA;28800;33120;34560;38880;40320;D;D
20.30;10;20;Male;Imago;6;0;;8925;NA;NA;NA;NA;23040;24480;NA;27360;30240;31680;NA;43200
20.31;10;20;Male;Imago;6;0;;8925;NA;NA;NA;NA;21600;23040;NA;27360;28800;30240;NA;41760
20.32;10;20;Male;Imago;6;0;;8925;NA;NA;NA;NA;NA;21600;NA;27360;28800;30240;NA;40320
20.33;10;20;Female;Imago;7;0;;9010;12960;14400;NA;18720;24480;25920;28800;30240;NA;33120;NA;44640
